,Country,State,City/Station,WMO,Source Data,Latitude (N+/S-),Longitude (E+/W-),Time Zone (GMT +/-),Elevation (m),URL
7189,ITA,PU,Foggia.AP,162600,SRC-TMYx,41.433,15.533,1,81.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Foggia.AP.162600_TMYx.zip
7190,ITA,PU,Amendola.AP,162610,Custom-162610,41.5381,15.7139,1,60.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Amendola.AP.162610_TMYx.2004-2018.zip
7191,ITA,PU,Amendola.AP,162610,SRC-TMYx,41.5381,15.7139,1,60.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Amendola.AP.162610_TMYx.2007-2021.zip
7192,ITA,PU,Amendola.AP,162610,SRC-TMYx,41.5381,15.7139,1,60.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Amendola.AP.162610_TMYx.2009-2023.zip
7193,ITA,PU,Amendola.AP,162610,SRC-TMYx,41.5381,15.7139,1,60.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Amendola.AP.162610_TMYx.zip
7194,ITA,CM,Trevico,162630,Custom-162630,41.0467,15.2328,1,1093.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Trevico.162630_TMYx.2004-2018.zip
7195,ITA,CM,Trevico,162630,SRC-TMYx,41.0467,15.2328,1,1093.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Trevico.162630_TMYx.2007-2021.zip
7196,ITA,CM,Trevico,162630,SRC-TMYx,41.0467,15.2328,1,1093.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Trevico.162630_TMYx.2009-2023.zip
7197,ITA,CM,Trevico,162630,SRC-TMYx,41.0467,15.2328,1,1093.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Trevico.162630_TMYx.zip
7198,ITA,PU,Marina.di.Ginosa,162640,SRC-TMYx,41.133,15.517,1,514.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Marina.di.Ginosa.162640_TMYx.zip
7199,ITA,PU,Vieste,162660,SRC-TMYx,41.8881,16.1647,1,5.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Vieste.162660_TMYx.2007-2021.zip
7200,ITA,PU,Vieste,162660,SRC-TMYx,41.8881,16.1647,1,5.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Vieste.162660_TMYx.2009-2023.zip
7201,ITA,PU,Vieste,162660,SRC-TMYx,41.8881,16.1647,1,5.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Vieste.162660_TMYx.zip
7202,ITA,PU,Bari-Wojtyla.Intl.AP,162700,Custom-162700,41.1381,16.765,1,49.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Bari-Wojtyla.Intl.AP.162700_TMYx.2004-2018.zip
7203,ITA,PU,Bari-Wojtyla.Intl.AP,162700,SRC-TMYx,41.1381,16.765,1,49.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Bari-Wojtyla.Intl.AP.162700_TMYx.2007-2021.zip
7204,ITA,PU,Bari-Wojtyla.Intl.AP,162700,SRC-TMYx,41.1381,16.765,1,49.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Bari-Wojtyla.Intl.AP.162700_TMYx.2009-2023.zip
7205,ITA,PU,Bari-Wojtyla.Intl.AP,162700,SRC-TMYx,41.1381,16.765,1,49.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Bari-Wojtyla.Intl.AP.162700_TMYx.zip
7206,ITA,PU,Bari,162710,Custom-162710,41.1205,16.8836,1,12.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Bari.162710_TMYx.2004-2018.zip
7207,ITA,PU,Bari,162710,SRC-TMYx,41.1205,16.8836,1,12.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Bari.162710_TMYx.2007-2021.zip
7208,ITA,PU,Bari,162710,SRC-TMYx,41.1205,16.8836,1,12.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Bari.162710_TMYx.2009-2023.zip
7209,ITA,PU,Bari,162710,SRC-TMYx,41.1205,16.8836,1,12.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Bari.162710_TMYx.zip
7210,ITA,LZ,Isola.di.Ponza,162800,Custom-162800,40.9119,12.9569,1,185.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/LZ_Lazio/ITA_LZ_Isola.di.Ponza.162800_TMYx.2004-2018.zip
7211,ITA,LZ,Isola.di.Ponza,162800,SRC-TMYx,40.9119,12.9569,1,185.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/LZ_Lazio/ITA_LZ_Isola.di.Ponza.162800_TMYx.2007-2021.zip
7212,ITA,LZ,Isola.di.Ponza,162800,SRC-TMYx,40.9119,12.9569,1,185.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/LZ_Lazio/ITA_LZ_Isola.di.Ponza.162800_TMYx.2009-2023.zip
7213,ITA,LZ,Isola.di.Ponza,162800,SRC-TMYx,40.9119,12.9569,1,185.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/LZ_Lazio/ITA_LZ_Isola.di.Ponza.162800_TMYx.zip
7214,ITA,CM,Caserta,162880,SRC-TMYx,41.0708,14.3236,1,63.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Caserta.162880_TMYx.2007-2021.zip
7215,ITA,CM,Caserta,162880,SRC-TMYx,41.0708,14.3236,1,63.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Caserta.162880_TMYx.2009-2023.zip
7216,ITA,CM,Caserta,162880,SRC-TMYx,41.0708,14.3236,1,63.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Caserta.162880_TMYx.zip
7217,ITA,CM,Napoli-Capodichino.AP,162890,Custom-162890,40.85,14.3,1,72.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Napoli-Capodichino.AP.162890_TMYx.2004-2018.zip
7218,ITA,CM,Napoli-Capodichino.AP,162890,SRC-TMYx,40.884,14.291,1,72.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Napoli-Capodichino.AP.162890_TMYx.2007-2021.zip
7219,ITA,CM,Napoli-Capodichino.AP,162890,SRC-TMYx,40.884,14.291,1,72.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Napoli-Capodichino.AP.162890_TMYx.2009-2023.zip
7220,ITA,CM,Napoli-Capodichino.AP,162890,SRC-TMYx,40.884,14.291,1,72.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Napoli-Capodichino.AP.162890_TMYx.zip
7221,ITA,CM,Salerno-Pontecagnano.AP,162920,Custom-162920,40.617,14.917,1,39.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Salerno-Pontecagnano.AP.162920_TMYx.2004-2018.zip
7222,ITA,CM,Salerno-Pontecagnano.AP,162920,SRC-TMYx,40.617,14.917,1,39.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Salerno-Pontecagnano.AP.162920_TMYx.2007-2021.zip
7223,ITA,CM,Salerno-Pontecagnano.AP,162920,SRC-TMYx,40.617,14.917,1,39.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Salerno-Pontecagnano.AP.162920_TMYx.2009-2023.zip
7224,ITA,CM,Salerno-Pontecagnano.AP,162920,SRC-TMYx,40.617,14.917,1,39.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Salerno-Pontecagnano.AP.162920_TMYx.zip
7225,ITA,CM,Capri.Island,162940,Custom-162940,40.5578,14.2019,1,161.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Capri.Island.162940_TMYx.2004-2018.zip
7226,ITA,CM,Capri.Island,162940,SRC-TMYx,40.5578,14.2019,1,161.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Capri.Island.162940_TMYx.2007-2021.zip
7227,ITA,CM,Capri.Island,162940,SRC-TMYx,40.5578,14.2019,1,161.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Capri.Island.162940_TMYx.2009-2023.zip
7228,ITA,CM,Capri.Island,162940,SRC-TMYx,40.5578,14.2019,1,161.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Capri.Island.162940_TMYx.zip
7229,ITA,BC,Potenza,163000,SRC-TMYx,40.633,15.8,1,843.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/BC_Basilicata/ITA_BC_Potenza.163000_TMYx.zip
7230,ITA,CM,Cape.Palinuro,163100,Custom-163100,40.025,15.2803,1,185.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Cape.Palinuro.163100_TMYx.2004-2018.zip
7231,ITA,CM,Cape.Palinuro,163100,SRC-TMYx,40.025,15.2803,1,185.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Cape.Palinuro.163100_TMYx.2007-2021.zip
7232,ITA,CM,Cape.Palinuro,163100,SRC-TMYx,40.025,15.2803,1,185.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Cape.Palinuro.163100_TMYx.2009-2023.zip
7233,ITA,CM,Cape.Palinuro,163100,SRC-TMYx,40.025,15.2803,1,185.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Cape.Palinuro.163100_TMYx.zip
7234,ITA,PU,Ramirez.AB,163120,Custom-163120,40.7661,16.9353,1,351.9,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Ramirez.AB.163120_TMYx.2004-2018.zip
7235,ITA,PU,Ramirez.AB,163120,SRC-TMYx,40.7661,16.9353,1,351.9,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Ramirez.AB.163120_TMYx.2007-2021.zip
7236,ITA,PU,Ramirez.AB,163120,SRC-TMYx,40.7661,16.9353,1,351.9,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Ramirez.AB.163120_TMYx.2009-2023.zip
7237,ITA,PU,Ramirez.AB,163120,SRC-TMYx,40.7661,16.9353,1,351.9,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Ramirez.AB.163120_TMYx.zip
7238,ITA,PU,Matera,163140,SRC-TMYx,40.6753,16.6561,1,498.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Matera.163140_TMYx.2007-2021.zip
7239,ITA,PU,Matera,163140,SRC-TMYx,40.6753,16.6561,1,498.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Matera.163140_TMYx.2009-2023.zip
7240,ITA,PU,Matera,163140,SRC-TMYx,40.6753,16.6561,1,498.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Matera.163140_TMYx.zip
7241,ITA,BC,Latronico,163160,Custom-163160,40.0875,16.0136,1,896.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/BC_Basilicata/ITA_BC_Latronico.163160_TMYx.2004-2018.zip
7242,ITA,BC,Latronico,163160,SRC-TMYx,40.0875,16.0136,1,896.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/BC_Basilicata/ITA_BC_Latronico.163160_TMYx.2007-2021.zip
7243,ITA,BC,Latronico,163160,SRC-TMYx,40.0875,16.0136,1,896.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/BC_Basilicata/ITA_BC_Latronico.163160_TMYx.2009-2023.zip
7244,ITA,BC,Latronico,163160,SRC-TMYx,40.0875,16.0136,1,896.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/BC_Basilicata/ITA_BC_Latronico.163160_TMYx.zip
7245,ITA,PU,Martina.Franca,163180,SRC-TMYx,40.6428,17.2061,1,415.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Martina.Franca.163180_TMYx.2007-2021.zip
7246,ITA,PU,Martina.Franca,163180,SRC-TMYx,40.6428,17.2061,1,415.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Martina.Franca.163180_TMYx.2009-2023.zip
7247,ITA,PU,Martina.Franca,163180,SRC-TMYx,40.6428,17.2061,1,415.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Martina.Franca.163180_TMYx.zip
7248,ITA,PU,Salento-Brindisi.AP,163200,Custom-163200,40.6578,17.9517,1,10.1,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Salento-Brindisi.AP.163200_TMYx.2004-2018.zip
7249,ITA,PU,Salento-Brindisi.AP,163200,SRC-TMYx,40.6578,17.9517,1,10.1,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Salento-Brindisi.AP.163200_TMYx.2007-2021.zip
7250,ITA,PU,Salento-Brindisi.AP,163200,SRC-TMYx,40.6578,17.9517,1,10.1,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Salento-Brindisi.AP.163200_TMYx.2009-2023.zip
7251,ITA,PU,Salento-Brindisi.AP,163200,SRC-TMYx,40.6578,17.9517,1,10.1,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Salento-Brindisi.AP.163200_TMYx.zip
7252,ITA,PU,Taranto-Grottaglie.AP,163240,Custom-163240,40.5172,17.3997,1,69.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Taranto-Grottaglie.AP.163240_TMYx.2004-2018.zip
